Date,AC Penrose NO_MCG 24h average [痢/m設,AC Penrose NO2_MCG 24h average [痢/m設,AC Penrose NOX_MCG 24h average [痢/m設,AC Penrose PM10 24h average [痢/m設,AC Penrose PM2.5 24h average [痢/m設,AC Penrose RH 24h average [%],AC Penrose TEMP 24h average [蚓],AC Penrose WSP 24h average [m/s]
29/09/2014,,,,16.299,2.806,70.828,13.32,2.794
30/09/2014,,,,9.267,4.994,73.773,12.58,3.454
1/10/2014,,,,8.905,5.912,62.248,13.59,2.929
2/10/2014,,,,11.385,5.268,76.73,12.82,2.255
3/10/2014,,,,19.276,6.759,73.559,11.74,3.728
4/10/2014,,,,,,,,
5/10/2014,,,,,,,,
6/10/2014,,,,,,,,
7/10/2014,,,,,,,,
8/10/2014,,,,,,,,
9/10/2014,,,,23.538,10.487,77.563,13.52,2.999
10/10/2014,,,,24.534,9.073,72.477,13.43,1.941
11/10/2014,,,,19.425,7.63,70.974,13.85,3.112
12/10/2014,,,,11.99,4.052,71.113,13.82,4.184
13/10/2014,,,,14.091,5.28,68.489,14.6,2.294
14/10/2014,,,,16.817,8.402,76.913,14.34,2.001
15/10/2014,,,,13.727,,76.585,14.83,2.617
16/10/2014,,,,13.083,4.859,82.844,13.84,
17/10/2014,3.626,8.303,11.929,8.554,3.602,76.721,15.47,2.198
18/10/2014,3.171,6.085,9.256,10.307,3.684,93.06,14.9,2.097
19/10/2014,8.885,11.764,20.649,7.176,2.745,75.645,14.32,3.214
20/10/2014,18.566,17.989,36.556,13.833,4.312,68.392,13.64,3.793
21/10/2014,24.302,35.13,59.432,13.74,6.53,72.669,14.35,1.868
22/10/2014,3.292,9.35,12.642,14.152,6.095,80.629,14.32,1.38
23/10/2014,13.778,19.385,33.163,12.196,6.943,74.849,14.78,2.203
24/10/2014,15.876,11.297,27.174,16.02,6.003,66.702,13.28,4.509
25/10/2014,15.565,13.07,28.635,14.018,5.207,51.3,11.07,2.495
26/10/2014,4.137,10.443,14.58,7.78,4.214,66.499,12.82,2.506
27/10/2014,1.121,4.173,5.294,12.699,4.047,72.058,14.09,3.48
28/10/2014,4.027,11.235,15.262,8.553,4.313,94.72,15.36,2.218
29/10/2014,7.97,16.001,23.971,13.989,6.616,84.941,15.42,2.949
30/10/2014,12.216,13.732,25.948,29.474,10.49,65.883,13.26,5.019
31/10/2014,10.247,13.25,23.497,21.943,7.241,67.562,14.83,3.785
1/11/2014,11.971,15.743,27.714,16.809,8.528,73.098,15.9,3.063
2/11/2014,3.563,9.21,12.773,15.541,7.03,74.394,16.55,1.641
3/11/2014,15.844,20.866,36.71,16.139,7.126,76.322,14.89,2.854
4/11/2014,36.495,30.002,66.497,16.016,6.769,72.891,12.77,1.601
5/11/2014,23.219,21.983,45.202,13.489,8.493,68.641,12,1.766
6/11/2014,12.377,16.652,29.029,14.053,2.691,64.822,11.67,4.038
7/11/2014,21.62,20.517,42.137,10.847,4.702,59.971,12.83,3.571
8/11/2014,18.071,18.132,36.203,12.004,4.261,61.243,13.83,3.287
9/11/2014,17.866,15.368,33.234,10.98,5.862,68.757,13.86,2.138
10/11/2014,22.753,19.205,41.959,7.071,4.12,69.354,14.88,2.6
11/11/2014,7.775,12.554,20.329,7.335,4.035,77.627,14.89,3.024
12/11/2014,7.314,11.026,18.34,13.213,4.864,68.266,12.28,3.711
13/11/2014,12.218,12.973,25.192,14.192,4.938,67.706,11.31,4.092
14/11/2014,11.492,10.612,22.104,14.805,5.093,67.352,13.4,4.868
15/11/2014,3.322,6.56,9.882,13.91,6.325,76.63,14.69,3.97
16/11/2014,7.08,8.29,15.371,21.351,7.804,66.575,14.36,3.921
17/11/2014,8.025,9.38,17.405,16.338,6.645,86.505,14.2,2.806
18/11/2014,14.19,13.547,27.738,23.577,8.946,66.053,15.05,4.188
19/11/2014,14.03,13.782,27.812,20.898,8.198,64.855,14.81,3.095
20/11/2014,17.206,13.97,31.177,21.17,7.235,60.194,14,4.865
21/11/2014,19.199,16.443,35.642,15.875,6.051,65.963,15.15,2.612
22/11/2014,4.611,5.647,10.258,11.448,4.861,82.027,16.97,3.188
23/11/2014,8.383,10.018,18.401,12.185,5.187,72.067,16.23,2.815
24/11/2014,14.996,16.647,31.644,8.288,4.667,85.296,16.24,1.428
25/11/2014,13.905,13.259,27.165,6.051,4.179,85.436,18.26,1.998
26/11/2014,13.25,13.623,26.873,13.49,7.328,79.649,17.04,3.051
27/11/2014,19.845,15.161,35.006,18.72,7.201,64.402,16.23,3.201
28/11/2014,8.953,11.887,20.841,12.94,5.092,74.495,14.48,3.134
29/11/2014,9.372,9.263,18.635,15.475,3.933,60.568,13.55,3.986
30/11/2014,6.313,6.041,12.354,12.772,2.903,64.928,14.47,3.047
1/12/2014,17.272,12.857,30.129,8.674,4.445,65.186,13.16,3.816
2/12/2014,29.355,21.568,50.924,13.639,5.324,55.986,13.54,2.749
3/12/2014,25.353,18.745,44.097,16.763,5.062,63.623,14.49,3.158
4/12/2014,17.739,16.664,34.403,11.859,4.434,61.618,15.25,3.081
5/12/2014,18.516,14.775,33.291,11.302,5.119,71.409,16.67,3.499
6/12/2014,17.083,14.718,31.801,10.364,3.83,76.085,17.14,2.788
7/12/2014,8.607,6.544,15.151,9.554,3.843,74.004,17.58,3.971
8/12/2014,16.246,10.07,26.315,10.316,5.799,82.447,17.9,2.916
9/12/2014,12.144,10.734,22.878,12.537,4.61,89.215,17.08,1.936
10/12/2014,7.805,10.64,18.445,12.071,4.407,80.15,17.98,2.81
11/12/2014,15.14,18.316,33.456,10.151,3.167,86.495,18.22,2.016
12/12/2014,25.002,21.795,46.796,,5.778,73.858,16.03,2.049
13/12/2014,15.733,14.94,30.673,13.747,4.877,75.524,15.3,1.356
14/12/2014,4.772,3.769,8.541,2.83,1.179,81.792,15,3.314
15/12/2014,15.616,12.242,27.858,13.234,5.079,67.789,16.23,2.723
16/12/2014,5.526,6.17,11.697,22.044,7.493,72.97,15.76,4.208
17/12/2014,5.44,6.2,11.64,6.948,3.226,94.29,17.16,3.44
18/12/2014,10.529,13.024,23.553,7.847,3.027,81.629,18.42,2.214
19/12/2014,13.846,10.456,24.302,7.648,3.842,78.357,18.95,1.691
20/12/2014,6.883,5.406,12.288,3.009,2.505,93.987,18.49,2.092
21/12/2014,5.198,8.532,13.73,7.242,3.502,78.588,19.42,2.124
22/12/2014,24.55,17.981,42.531,15.311,6.034,69.023,17.95,3.015
23/12/2014,17.901,10.809,28.71,13.468,6.527,68.941,18.58,1.958
24/12/2014,4.234,3.142,7.375,9.296,4.504,72.733,18.8,2.399
25/12/2014,6.827,2.952,9.78,8.561,4.164,67.65,17.95,1.784
26/12/2014,8.043,3.973,12.016,9.269,2.895,64.684,17.83,2.08
27/12/2014,8.408,4.992,13.401,17.804,5.745,68.978,18.19,1.98
28/12/2014,6.176,3.203,9.379,10.64,4.12,71.189,18.64,1.781
29/12/2014,5.807,3.162,8.97,11.291,2.738,65.123,19.23,1.938
30/12/2014,5.484,2.891,8.375,8.633,3.046,66.653,18.55,2.354
31/12/2014,2.164,1.387,3.55,8.427,3.466,75.632,18.63,3.084
1/01/2015,7.311,6.383,13.694,17.735,7.19,63.777,17.96,3.688
2/01/2015,12.401,10.82,23.22,20.8,6.623,68.617,17.29,2.274
3/01/2015,14.711,10.178,24.889,15.708,5.653,71.53,18.22,2.849
4/01/2015,11.451,10.481,21.932,15.563,6.984,70.43,19.82,1.562
5/01/2015,22.943,19.895,42.838,18.62,7.837,74.753,19.42,2.142
6/01/2015,25.327,12.871,38.199,8.655,5.301,68.819,19.42,2.531
7/01/2015,18.428,12.477,30.905,11.679,5.399,70.141,19.35,2.919
8/01/2015,16.811,10.113,26.924,20.791,8.212,68.609,19.47,2.399
9/01/2015,1.004,2.697,3.701,24.56,8.132,73.351,18.99,2.071
10/01/2015,11.375,10.783,22.158,17.25,7.9,71.947,20.14,3.028
11/01/2015,7.039,6.565,13.604,11.636,5.548,65.902,20.09,3.465
12/01/2015,20.069,10.197,30.267,20.422,7.198,71.239,20.7,4.062
13/01/2015,17.113,13.276,30.389,17.786,6.134,67.659,20.03,3.779
14/01/2015,21.301,20.676,41.977,20.002,7.417,64.855,19.28,2.478
15/01/2015,18.397,17.021,35.418,16.481,8.198,66.544,20.2,1.689
16/01/2015,3.486,7.716,11.202,15.489,5.759,64.987,20.79,1.776
17/01/2015,2.669,8.094,10.763,8.561,3.058,79.671,20.4,1.707
18/01/2015,8.214,9.473,17.687,8.311,2.962,67.215,20.44,2.71
19/01/2015,17.327,18.707,36.034,15.361,6.756,67.745,21.03,2.431
20/01/2015,25.218,18.778,43.996,21.534,7.899,69.921,20.61,2.53
21/01/2015,23.615,19.165,42.78,20.069,5.506,56.393,19.35,3.348
22/01/2015,18.833,12.582,31.415,21.749,6.576,65.659,19.18,2.537
23/01/2015,4.184,6.742,10.926,19.443,5.67,62.54,20.07,2.057
24/01/2015,7.954,12.619,20.574,14.871,5.479,60.907,21.28,2.338
25/01/2015,3.209,5.62,8.829,15.691,7.037,69.775,20.53,1.99
26/01/2015,2.672,3.914,6.586,,4.101,60.39,20.29,2.154
27/01/2015,10.632,16.544,27.176,26.515,6.658,66.952,20.88,1.361
28/01/2015,19.636,14.359,33.995,13.62,5.907,63.532,21.47,1.85
29/01/2015,14.808,11.134,25.942,21.832,6.49,66.702,21.77,2.82
30/01/2015,6.886,5.549,12.434,14.724,4.28,72.727,21.73,2.328
31/01/2015,2.688,3.533,6.221,7.12,2.435,83.629,20.67,2.039
1/02/2015,2.173,3.963,6.136,4.329,1.963,83.409,20.49,1.731
2/02/2015,5.907,6.45,12.357,8.384,3.221,76.987,21.84,1.957
3/02/2015,18.606,12.603,31.208,10.048,4.391,73.649,21.22,3.398
4/02/2015,24.307,22.142,46.449,12.926,5.789,83.231,17.71,1.254
5/02/2015,19.358,15.618,34.976,17.001,5.378,67.322,18.56,4.069
6/02/2015,3.784,3.364,7.149,21.431,6.918,62.881,17.67,5.576
7/02/2015,9.733,8.971,18.704,17.481,5.187,56.911,17.92,4.127
